date,latitude,longitude,temperature,wind_speed,ocean_temperature,current_speed,ice_concentration
2026-09-06,-70.2,25.4,-16,19,-1.2,0.8,62
2026-09-07,-70.2,25.4,-17,21,-1.3,1.0,65
2026-09-08,-70.2,25.4,-18,23,-1.4,1.1,68
2026-09-09,-70.2,25.4,-19,25,-1.5,1.2,71
2026-09-10,-70.2,25.4,-18,24,-1.5,1.2,68
2026-09-11,-70.2,25.4,-20,26,-1.6,1.3,72
2026-09-12,-70.2,25.4,-21,27,-1.7,1.4,75
2026-09-13,-70.2,25.4,-22,28,-1.8,1.5,78
2026-09-14,-70.2,25.4,-23,29,-1.9,1.6,80
2026-09-15,-70.2,25.4,-21,26,-1.7,1.3,77
